productId,Title,userId,Time,Text,Cat1,Cat2,Cat3
B0002AQK70,PetSafe Staywell Pet Door with Clear Hard Flap,A2L6QTQQI13LZG,1344211200,We've only had it installed about 2 weeks. So far it works great. My chubby collie & old black lab are both going in and out easily. It was easy to install. It was hanging up a little when closing but seems to be working through that. It was supposed to be a clear door & it is not. Very disappointed in that.,pet supplies,cats,cat flaps
B0002DK8OI,"Kaytee Timothy Cubes, 1-Pound",A2HJUOZ9R9K4F,1344211200,My bunny had a hard time eating this because the hay was so dry and it was too small for her to chew on.,pet supplies,bunny rabbit central,food
B0006VJ6TO,Body Back Buddy,A14PK96LL78NN3,1344211200,would never in a million years have guessed that this little thing was capable of so much. whoever invented it is a goddamn genius. It's fantastic...especially if you get knotted up easily in your back - this thing will make you cry.,health personal care,health care,massage relaxation
B000EZSFXA,SnackMasters California Style Turkey Jerky,A2UW73HU9UMOTY,1344211200,"Being the jerky fanatic I am, snackmasters hands down is the best brand on the market! Must try! I buy mine from whole foods and I first tried this brand when I was staying at Marriott hotel, I have been hooked since.",grocery gourmet food,snack food,jerky dried meats
B000KV61FC,Premier Busy Buddy Tug-a-Jug Treat Dispensing Dog Toy,A1Q99RNV0TKW8R,1344211200,"Wondered how quick my dog would catch on to this. She's pretty smart! She's playing with this a lot and knows that even though she can smell the treats better at one end, they only come out on the other. Luckily, it does take a while to get all the treats out. You'll need tiny treats for this. I got the Busy Buddie buddy berries (or something like that!).",pet supplies,dogs,toys
B000JQALAE,"Greenies Treat-Pak for Dogs, Original",AT66IKVKXSI46,1344211200,"My boxer likes these, but he doesn't get really excited about them. But if they work as advertised and clean his teeth, then they are great.",pet supplies,dogs,treats
B000JCCVQU,Orvus W A Paste,AMOEUUDTLP6Q9,1344211200,Use this to wash our show cows. It is great. A little goes along way so it lasts. Seems to be gentle and not cause any rashes of any kind. No smell really maybe like ivory soap.,health personal care,household supplies,household cleaning
B000TA8MKG,Be Good My Little Sandbox Play Sets (Pirates Ahoy!),ACFT90GFNUQ8H,1344211200,this thing was no larger than a kchen plate and i know i should have looked at the size closer but for a 2 year old parts are choke hazards. Plus for a 2 year old cleaning upblue sand off the carpet all day really sucks.,toys games,novelty gag toys,unknown
B000093A0U,HUGO For Women By HUGO BOSS Eau de Toilette,A3RXOGK8M4GGYM,1344211200,"I love Hugo boss. It's perfect for everyday, it's great smelling without being over strong. Most things give me headaches, but this one is just great!",beauty,fragrance,men s
B000N2Q1V2,Nailtiques After Artificial Treatment,A30VSC032AS7ST,1344211200,I WAS VERY PLEASED WITH THE PRODUCT AND THE PRICE. MY NAILS WERE IN ROUGH SHAPE AND WITH THIS PRODUCT I FEEL THEY ARE SRONGER THAN EVER.,beauty,skin care,hands nails
B0000C88FZ,Remington SP-69 MS2 Foil Screen & Cutter Blade Head,A33TM6IQJHZAEF,1344211200,This item does not fit my model razor even tho the packaging says it does. Not even close!!! Manufacturer needs to check this out.,health personal care,personal care,shaving hair removal
B000CEA08Q,One-A-Day Womens Active Metabolism Multivitamin - 165 Tablets,A1TFNHA67AY3FG,1344211200,I was very excited to take this vitamin hoping it would give me a boost of energy. I took the vitamin after eating and within 5 minutes I threw it all up!! An hour later and I still feel sick and very weak. I wouldn't recommend this to anyone. This is the first and last day I will be taking thirst vitamins. Huge wast of money.,health personal care,nutrition wellness,vitamins supplements
B000GSNQ8E,Star Wars EIII Revenge of the Sith 12 Inch Action Figure General Grievous,A14EWY7NMC3X4Z,1344211200,Came broken and Eck's Shack would not replace it and doesn't answer my e-mails. This was a gift for my ten year old grandson who loves Star Wars. I wish I could say he loves it but we sent it back to show them we weren't lying and they never refunded the money. They basically called me a liar and left it at that.,toys games,action toy figures,figures
B00063FBBE,Royal Hawaiian Pikake Cologne Mist 1.6 oz (Note NEW Size 1.6oz / 47ml),A3FLQ0KDY9N6KR,1344211200,The perfume was nicely packaged and there was gift of a pen which was really nice. The fragrane is strong and lasts for a whole day. It is reasonably priced and shipping was also affordable.,beauty,fragrance,unknown
B0002NYO20,OliveNation Culinary Lavender,A122PCJPEXN5GW,1344211200,8 oz. is a big package. Smells great. Baking up a bunch of lavender white chocolate scones for the freezer. Tastes wonderful!,grocery gourmet food,pantry staples,herbs
B0007CZXQC,"Pink by Victoria's Secret Eau De Parfum Spray for Women, 2.5 Ounce",A3UMP4VAO0MVEY,1344297600,"Greetings from the Devil's Summertime Resort, Phoenix, AZ, where today it will reach a balmy 116% with 45% humidity. Ah yes, it's swell. What's even more fun is trying to find a fragrance that won't ""sour"" or get so strong it has everyone in line at Starbucks gagging and holding their nose (yeah, that happens). Pink! Perfume is light and lovely and NEVER sours and for whatever reason, does not react the way other perfumes can and often do, in the extreme heat. There are a lot of gorgeous fragrances out there, but Pink! is the absolute PERFECT daytime fragrance, especially in the summer!",beauty,fragrance,women s
B000A3ZMPA,Klorane Soothing Eye Make-up Remover,A1VQPUEN0BX0KI,1344297600,"it works perfectly, it does not sting, and, it removes eye make up quickly. I have used it for years",beauty,makeup,makeup remover
B000H121DQ,"Zuke's Z-Filets High Protein Dog Treats, 3.25 Ounce Bag",A1PHT05SMGHSU5,1344297600,"There were exactly 8 treats in the bag I bought...that's almost $1 per treat! Sure, my dog loved them, but that's way too much to pay for dog treats. I expected the package to contain more.",pet supplies,dogs,treats
B000059Z77,"Osteo Bi-Flex Advanced Triple Strengh, 80 coated caplets",A132IRLV3AHBFY,1344297600,"I've used this product for awhile and feel it makes a real difference for me. I can tell when I haven't been taking it. But the price can be a little high, and this deal from Amazon is the best I've found pricewise. I also like having a large enough supply on hand to last 2-3 months. The only drawback is the size of the pills, but that's the same for all of these joint meds.",health personal care,nutrition wellness,vitamins supplements
B000FJ9QLA,Simple Solution Washable Male Wrap,ALKR53DBHUQWW,1344297600,My dog is disabled and this wrap is a Godsend. Without it I wouldn't be able to keep my dogs diapers in place. This product has made a near impossible situation workable.,pet supplies,dogs,litter housebreaking
B0002I0O60,Kyjen Hide-A-Squirrel Puzzle Toy for Dogs,A234V3AGGQI3Q2,1344297600,"I was looking for a toy my dog would love and would entertain her both while we were home and playing with her AND while we weren't home.SHE ADORES this toy!!! My dog is an Australian Shepherd, 8 years old and loves her toys!!First, I love that it has the 'hunting' element to it. She will stick her entire nose/face into the holes to get the last squirrel/chipmunk!! It's so cute.When I put all three in she will grab it and shake it violently (as in going in for the kill) and they fling out one at a time!!! Hilarious to watch.Then, I LOVE that the each squeak!!! And so does my dog. She will pounce on them and chew it to hear it squeak!!This has quickly become one of her FAVORITE TOYS, and believe me, she has quite a lot of them. When we tell her to get 'Chippy' (we think they look more like chipmunks) she runs over to the toy and pounces!!!Then, when she is more calm or tired, she will cuddle with them as well.I bought this for her last Christmas (2011) and she plays with it constantly and ROUGH and it is still in GREAT condition!!!Granted, she doesn't chew things apart, so I don't know if your dog is prone to chewing toys apart how that would play out.But I can't believe it looks as good as it does after months and months of playing!!I am SO happy I bought this toy -- as it is more ""interactive"" than most and she loves it!!! I don't regret buying it for one second.When it eventually wears out, I will most definitely be buying another!!!",pet supplies,dogs,toys
B0002DUTGU,PediFix Wart STICK,A2UTDP0V71CQJ2,1344297600,"I was a little skeptical about using this product, thinking that it just wouldn't work, but after a week or so of of using it religiously, soaking my wart, applying the product, and covering it with a bandage twice daily for a week, my wart is gone! Wish I would have done it a long time ago!!",health personal care,health care,foot care
B00016X10Y,Ecco Bella Flowercolor Natural Mascara Black 0.38 oz,A9O2ZH48SI02M,1344297600,"I just wish I would have read a little more reviews before I bought it. I searched for ""organic mascara"" and this came up. The ingredients contain methylparaben and polyparaben. So I'll use it for a month then I'll toss it and do a more thorough search next time.",beauty,makeup,eyes
B000ES6DPE,Silk Spirits Conditioner 8oz bottle by Chris Christensen,A3K4JA74ALVLBV,1344297600,"This is a mircale product!! Leaves the coat smooth as silk!! lolNo more knots, and not sure if it is bc of this or the other Chris Christensen products, but the dog's coat stays cleaner longer and he does not need a bath as pften as he used to. He goes outside frequently, so he does get dirty and dusty. Just a regular brushing (shih tzu mix) and his fur stays amazingly clean and tangle-free!!! Love this product!! It lasts forever too!! 5*!! :)))",pet supplies,dogs,grooming
B00001QE9G,Ty Beanie Babies Flip the Cat,AF7DUY08T2J87,1344297600,I still have my original Flip the Cat in mint condition. I really love Flip because Flip reminds me of one of my kitties who is all white. Flip is very solidly constructed and very well made. Her fur is very white with pink whiskers and pink button nose.She is one of the early Beanie Babies and a true treasure!,toys games,stuffed animals plush,animals figures
B000GCUDZO,Clairol Natural Instincts,ALR41PYDZPQLL,1344297600,My wife has used this product for some time now but has had trouble finding it in stores. It was great to find it online.,beauty,hair care,hair color
B000GL4NPQ,Solvit 62313 Waterproof Bench Seat Cover for Pets,A2U2OZI6EA5N5Y,1344297600,"Bench seat cover was advertised to fit all vehicles - could be adjusted to fit. It does NOT fit a 2000 Buick Lesabre - not large enough!! Returning item for partial refund because my ""window"" for return has already closed (?)",pet supplies,dogs,beds furniture
B00067ZQFG,Lindberg-Snider Red Baron Barbecue Spice 14oz.,A1QRR431TBN0SP,1344297600,This seasoning is the absolute best for many meats but especially for barbecued chicken. Can't even imagine rotissering chicken without it. KFC eat your heart out!!,grocery gourmet food,herbs,spices seasonings
